No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1,2010,1,1,0,NA,-21,-11,1021,NW,1.79,0,0
2,2010,1,1,1,NA,-21,-12,1020,NW,4.92,0,0
3,2010,1,1,2,NA,-21,-11,1019,NW,6.71,0,0
4,2010,1,1,3,NA,-21,-14,1019,NW,9.84,0,0
5,2010,1,1,4,NA,-20,-12,1018,NW,12.97,0,0
6,2010,1,1,5,NA,-19,-10,1017,NW,16.1,0,0
7,2010,1,1,6,NA,-19,-9,1017,NW,19.23,0,0
8,2010,1,1,7,NA,-19,-9,1017,NW,21.02,0,0
9,2010,1,1,8,NA,-19,-9,1017,NW,24.15,0,0
10,2010,1,1,9,NA,-20,-8,1017,NW,27.28,0,0
11,2010,1,1,10,NA,-19,-7,1017,NW,31.3,0,0
12,2010,1,1,11,NA,-18,-5,1017,NW,34.43,0,0
13,2010,1,1,12,NA,-19,-5,1015,NW,37.56,0,0
14,2010,1,1,13,NA,-18,-3,1015,NW,40.69,0,0
15,2010,1,1,14,NA,-18,-2,1014,NW,43.82,0,0
16,2010,1,1,15,NA,-18,-1,1014,cv,0.89,0,0
17,2010,1,1,16,NA,-19,-2,1015,NW,1.79,0,0
18,2010,1,1,17,NA,-18,-3,1015,NW,2.68,0,0
19,2010,1,1,18,NA,-18,-5,1016,NE,1.79,0,0
20,2010,1,1,19,NA,-17,-4,1017,NW,1.79,0,0
21,2010,1,1,20,NA,-17,-5,1017,cv,0.89,0,0
22,2010,1,1,21,NA,-17,-5,1018,NW,1.79,0,0
23,2010,1,1,22,NA,-17,-5,1018,NW,2.68,0,0
24,2010,1,1,23,NA,-17,-5,1020,cv,0.89,0,0
25,2010,1,2,0,129,-16,-4,1020,SE,1.79,0,0
26,2010,1,2,1,148,-15,-4,1020,SE,2.68,0,0
27,2010,1,2,2,159,-11,-5,1021,SE,3.57,0,0
28,2010,1,2,3,181,-7,-5,1022,SE,5.36,1,0
29,2010,1,2,4,138,-7,-5,1022,SE,6.25,2,0
30,2010,1,2,5,109,-7,-6,1022,SE,7.14,3,0
31,2010,1,2,6,105,-7,-6,1023,SE,8.93,4,0
32,2010,1,2,7,124,-7,-5,1024,SE,10.72,0,0
33,2010,1,2,8,120,-8,-6,1024,SE,12.51,0,0
34,2010,1,2,9,132,-7,-5,1025,SE,14.3,0,0
35,2010,1,2,10,140,-7,-5,1026,SE,17.43,1,0
36,2010,1,2,11,152,-8,-5,1026,SE,20.56,0,0
37,2010,1,2,12,148,-8,-5,1026,SE,23.69,0,0
38,2010,1,2,13,164,-8,-5,1025,SE,27.71,0,0
39,2010,1,2,14,158,-9,-5,1025,SE,31.73,0,0
40,2010,1,2,15,154,-9,-5,1025,SE,35.75,0,0
41,2010,1,2,16,159,-9,-5,1026,SE,37.54,0,0
42,2010,1,2,17,164,-8,-5,1027,SE,39.33,0,0
43,2010,1,2,18,170,-8,-5,1027,SE,42.46,0,0
44,2010,1,2,19,149,-8,-5,1028,SE,44.25,0,0
45,2010,1,2,20,154,-7,-5,1028,SE,46.04,0,0
46,2010,1,2,21,164,-7,-5,1027,SE,49.17,1,0
47,2010,1,2,22,156,-8,-6,1028,SE,52.3,2,0
48,2010,1,2,23,126,-8,-6,1027,SE,55.43,3,0
49,2010,1,3,0,90,-7,-6,1027,SE,58.56,4,0
50,2010,1,3,1,63,-8,-6,1026,SE,61.69,5,0
51,2010,1,3,2,65,-8,-7,1026,SE,65.71,6,0
52,2010,1,3,3,55,-8,-7,1025,SE,68.84,7,0
53,2010,1,3,4,65,-8,-7,1024,SE,72.86,8,0
54,2010,1,3,5,83,-9,-8,1024,SE,76.88,9,0
55,2010,1,3,6,91,-10,-8,1024,SE,80.9,10,0
56,2010,1,3,7,86,-10,-9,1024,SE,84.92,11,0
57,2010,1,3,8,82,-10,-9,1024,SE,89.84,12,0
58,2010,1,3,9,86,-11,-9,1023,SE,93.86,13,0
59,2010,1,3,10,78,-11,-9,1023,SE,97.88,15,0
60,2010,1,3,11,98,-11,-9,1022,SE,102.8,16,0
61,2010,1,3,12,107,-11,-9,1021,SE,105.93,17,0
62,2010,1,3,13,90,-11,-9,1020,SE,111.74,19,0
63,2010,1,3,14,96,-11,-9,1020,SE,116.66,20,0
64,2010,1,3,15,95,-11,-9,1020,SE,121.58,21,0
65,2010,1,3,16,86,-11,-9,1020,SE,124.71,22,0
66,2010,1,3,17,70,-11,-9,1020,SE,127.84,23,0
67,2010,1,3,18,61,-11,-9,1021,cv,0.89,24,0
68,2010,1,3,19,53,-11,-9,1022,cv,1.78,25,0
69,2010,1,3,20,71,-10,-9,1022,NW,4.02,26,0
70,2010,1,3,21,72,-11,-10,1023,NW,7.15,27,0
71,2010,1,3,22,76,-11,-9,1023,NW,11.17,0,0
72,2010,1,3,23,73,-12,-11,1023,NW,14.3,0,0
73,2010,1,4,0,79,-14,-12,1023,NW,16.09,0,0
74,2010,1,4,1,58,-16,-9,1023,NW,21.9,0,0
75,2010,1,4,2,25,-17,-10,1024,NW,29.95,0,0
76,2010,1,4,3,26,-18,-11,1024,NW,39.78,0,0
77,2010,1,4,4,28,-19,-11,1025,NW,48.72,0,0
78,2010,1,4,5,26,-20,-12,1026,NW,55.87,0,0
79,2010,1,4,6,20,-21,-12,1027,NW,64.81,0,0
80,2010,1,4,7,29,-21,-13,1027,NW,73.75,0,0
81,2010,1,4,8,26,-22,-13,1028,NW,80.9,0,0
82,2010,1,4,9,27,-22,-13,1029,NW,90.73,0,0
83,2010,1,4,10,27,-22,-12,1030,NW,100.56,0,0
84,2010,1,4,11,25,-23,-12,1031,NW,108.61,0,0
85,2010,1,4,12,29,-21,-11,1030,NW,117.55,0,0
86,2010,1,4,13,32,-20,-10,1030,NW,127.38,0,0
87,2010,1,4,14,28,-21,-10,1030,NW,136.32,0,0
88,2010,1,4,15,29,-21,-9,1030,NW,145.26,0,0
89,2010,1,4,16,30,-21,-9,1031,NW,152.41,0,0
90,2010,1,4,17,30,-20,-11,1032,NW,159.56,0,0
91,2010,1,4,18,28,-23,-11,1032,NW,165.37,0,0
92,2010,1,4,19,26,-21,-12,1033,NW,171.18,0,0
93,2010,1,4,20,31,-24,-12,1034,NW,180.12,0,0
94,2010,1,4,21,33,-24,-13,1034,NW,187.27,0,0
95,2010,1,4,22,29,-24,-13,1035,NW,195.32,0,0
96,2010,1,4,23,31,-26,-15,1035,NW,198.45,0,0
97,2010,1,5,0,30,-26,-17,1035,NW,201.58,0,0
98,2010,1,5,1,34,-26,-18,1035,NW,205.6,0,0
99,2010,1,5,2,27,-26,-19,1035,NW,208.73,0,0
100,2010,1,5,3,25,-27,-18,1035,NW,213.65,0,0
101,2010,1,5,4,28,-27,-19,1035,NW,218.57,0,0
102,2010,1,5,5,28,-27,-16,1034,NE,4.92,0,0
103,2010,1,5,6,27,-26,-16,1035,NE,8.05,0,0
104,2010,1,5,7,27,-27,-16,1034,NE,13.86,0,0
105,2010,1,5,8,27,-26,-16,1035,NE,18.78,0,0
106,2010,1,5,9,29,-26,-15,1035,NE,24.59,0,0
107,2010,1,5,10,36,-25,-14,1035,NE,29.51,0,0
108,2010,1,5,11,30,-25,-13,1035,NE,34.43,0,0
109,2010,1,5,12,27,-25,-12,1034,NE,39.35,0,0
110,2010,1,5,13,39,-24,-11,1032,NE,41.14,0,0
111,2010,1,5,14,41,-22,-11,1032,cv,0.89,0,0
112,2010,1,5,15,33,-23,-11,1031,NW,1.79,0,0
113,2010,1,5,16,50,-24,-11,1031,NW,3.58,0,0
114,2010,1,5,17,56,-23,-11,1031,NW,5.37,0,0
115,2010,1,5,18,59,-23,-11,1032,NW,7.16,0,0
116,2010,1,5,19,60,-22,-13,1033,NW,10.29,0,0
117,2010,1,5,20,84,-22,-12,1033,NW,13.42,0,0
118,2010,1,5,21,106,-24,-18,1033,NW,16.55,0,0
119,2010,1,5,22,66,-22,-13,1034,NW,20.57,0,0
120,2010,1,5,23,50,-22,-16,1033,NW,23.7,0,0
121,2010,1,6,0,56,-25,-17,1033,NW,26.83,0,0
122,2010,1,6,1,77,-25,-14,1033,NE,4.02,0,0
123,2010,1,6,2,50,-26,-14,1034,NE,8.04,0,0
124,2010,1,6,3,44,-26,-14,1033,NE,13.85,0,0
125,2010,1,6,4,27,-26,-14,1033,NE,17.87,0,0
126,2010,1,6,5,28,-26,-14,1033,NE,23.68,0,0
127,2010,1,6,6,21,-26,-14,1033,NE,28.6,0,0
128,2010,1,6,7,25,-26,-15,1034,NE,33.52,0,0
129,2010,1,6,8,20,-26,-14,1034,NE,39.33,0,0
130,2010,1,6,9,29,-25,-13,1035,NE,44.25,0,0
131,2010,1,6,10,34,-25,-12,1035,NE,50.06,0,0
132,2010,1,6,11,42,-24,-11,1035,NE,54.98,0,0
133,2010,1,6,12,28,-24,-10,1034,NE,59,0,0
134,2010,1,6,13,36,-22,-10,1033,NW,4.02,0,0
135,2010,1,6,14,48,-22,-9,1033,NW,5.81,0,0
136,2010,1,6,15,49,-22,-8,1033,cv,0.89,0,0
137,2010,1,6,16,52,-22,-8,1033,NW,1.79,0,0
138,2010,1,6,17,56,-21,-9,1033,NW,3.58,0,0
139,2010,1,6,18,96,-22,-9,1033,NW,5.37,0,0
140,2010,1,6,19,75,-22,-14,1034,cv,0.89,0,0
141,2010,1,6,20,105,-22,-12,1035,NW,1.79,0,0
142,2010,1,6,21,132,-21,-14,1034,NW,3.58,0,0
143,2010,1,6,22,93,-22,-16,1035,NW,5.37,0,0
144,2010,1,6,23,131,-21,-16,1035,NW,7.16,0,0
145,2010,1,7,0,127,-21,-16,1035,NW,8.95,0,0
146,2010,1,7,1,130,-21,-16,1035,cv,0.45,0,0
147,2010,1,7,2,43,-22,-18,1036,cv,1.34,0,0
148,2010,1,7,3,37,-23,-15,1036,NW,4.02,0,0
149,2010,1,7,4,30,-24,-16,1035,NW,7.15,0,0
150,2010,1,7,5,28,-25,-15,1035,NW,10.28,0,0
151,2010,1,7,6,24,-24,-15,1035,NW,14.3,0,0
152,2010,1,7,7,23,-25,-13,1036,NE,4.92,0,0
153,2010,1,7,8,24,-24,-14,1036,NW,4.02,0,0
154,2010,1,7,9,27,-23,-12,1036,NW,8.94,0,0
155,2010,1,7,10,40,-22,-11,1036,NW,12.96,0,0
156,2010,1,7,11,42,-20,-10,1036,NW,16.09,0,0
157,2010,1,7,12,42,-21,-9,1035,NW,19.22,0,0
158,2010,1,7,13,55,-21,-8,1034,NW,21.01,0,0
159,2010,1,7,14,52,-20,-7,1033,NW,22.8,0,0
160,2010,1,7,15,51,-20,-7,1032,NW,24.59,0,0
161,2010,1,7,16,57,-18,-8,1032,NW,26.38,0,0
162,2010,1,7,17,50,-19,-9,1032,NW,28.17,0,0
163,2010,1,7,18,54,-19,-11,1032,NE,0.89,0,0
164,2010,1,7,19,67,-18,-11,1033,NW,1.79,0,0
165,2010,1,7,20,106,-19,-15,1032,NE,1.79,0,0
166,2010,1,7,21,159,-19,-14,1032,cv,0.45,0,0
167,2010,1,7,22,198,-21,-14,1032,cv,1.34,0,0
168,2010,1,7,23,190,-21,-16,1032,cv,2.23,0,0
169,2010,1,8,0,210,-21,-17,1031,NW,1.79,0,0
170,2010,1,8,1,195,-19,-16,1031,NW,3.58,0,0
171,2010,1,8,2,275,-20,-16,1031,NE,0.89,0,0
172,2010,1,8,3,164,-19,-15,1030,SE,0.89,0,0
173,2010,1,8,4,110,-18,-15,1030,cv,0.45,0,0
174,2010,1,8,5,100,-18,-15,1029,cv,1.34,0,0
175,2010,1,8,6,81,-18,-15,1029,NW,1.79,0,0
176,2010,1,8,7,71,-16,-13,1029,NE,0.89,0,0
177,2010,1,8,8,66,-16,-12,1029,SE,0.89,0,0
178,2010,1,8,9,92,-16,-12,1030,SE,1.78,0,0
179,2010,1,8,10,135,-17,-10,1030,NE,0.89,0,0
180,2010,1,8,11,155,-16,-10,1029,cv,0.89,0,0
181,2010,1,8,12,198,-16,-9,1028,SE,3.13,0,0
182,2010,1,8,13,250,-15,-8,1026,SE,4.92,0,0
183,2010,1,8,14,200,-16,-8,1026,cv,0.89,0,0
184,2010,1,8,15,231,-16,-8,1025,cv,1.78,0,0
185,2010,1,8,16,250,-16,-8,1025,cv,2.67,0,0
186,2010,1,8,17,212,-17,-8,1025,SE,0.89,0,0
187,2010,1,8,18,219,-17,-9,1026,cv,0.45,0,0
188,2010,1,8,19,227,-17,-11,1026,cv,1.34,0,0
189,2010,1,8,20,226,-17,-12,1026,cv,1.79,0,0
190,2010,1,8,21,225,-18,-14,1027,NW,1.79,0,0
191,2010,1,8,22,168,-16,-9,1027,NW,4.92,0,0
192,2010,1,8,23,169,-16,-11,1027,NW,6.71,0,0
193,2010,1,9,0,165,-17,-13,1027,cv,0.89,0,0
194,2010,1,9,1,159,-17,-13,1027,NW,3.13,0,0
195,2010,1,9,2,167,-17,-14,1027,NW,4.92,0,0
196,2010,1,9,3,196,-17,-15,1027,NW,8.05,0,0
197,2010,1,9,4,169,-17,-13,1027,NW,9.84,0,0
198,2010,1,9,5,155,-19,-16,1027,NW,13.86,0,0
199,2010,1,9,6,119,-18,-15,1027,NW,17.88,0,0
200,2010,1,9,7,106,-19,-15,1027,NW,21.9,0,0
201,2010,1,9,8,93,-18,-14,1028,NW,25.92,0,0
202,2010,1,9,9,84,-18,-9,1029,NE,5.81,0,0
203,2010,1,9,10,73,-17,-7,1029,NE,11.62,0,0
204,2010,1,9,11,66,-17,-6,1030,NE,17.43,0,0
205,2010,1,9,12,40,-16,-6,1029,NE,23.24,0,0
206,2010,1,9,13,49,-16,-5,1029,NE,28.16,0,0
207,2010,1,9,14,50,-15,-4,1029,NE,33.08,0,0
208,2010,1,9,15,49,-14,-4,1028,NE,37.1,0,0
209,2010,1,9,16,41,-15,-4,1029,NE,38.89,0,0
210,2010,1,9,17,37,-15,-4,1030,NW,1.79,0,0
211,2010,1,9,18,45,-15,-7,1030,NE,3.13,0,0
212,2010,1,9,19,44,-15,-6,1031,NW,3.13,0,0
213,2010,1,9,20,54,-15,-7,1032,NW,4.92,0,0
214,2010,1,9,21,50,-15,-6,1032,NE,3.13,0,0
215,2010,1,9,22,47,-15,-8,1033,cv,0.45,0,0
216,2010,1,9,23,66,-15,-8,1033,cv,0.9,0,0
217,2010,1,10,0,75,-15,-11,1033,NW,0.89,0,0
218,2010,1,10,1,82,-17,-13,1033,NW,1.78,0,0
219,2010,1,10,2,66,-17,-12,1033,NW,4.91,0,0
220,2010,1,10,3,83,-17,-13,1033,NW,8.04,0,0
221,2010,1,10,4,62,-19,-14,1032,NW,9.83,0,0
222,2010,1,10,5,40,-18,-13,1032,NW,12.96,0,0
223,2010,1,10,6,23,-19,-13,1032,NW,16.09,0,0
224,2010,1,10,7,25,-19,-14,1033,NW,19.22,0,0
225,2010,1,10,8,27,-19,-14,1034,NW,22.35,0,0
226,2010,1,10,9,35,-17,-12,1033,NW,24.14,0,0
227,2010,1,10,10,50,-16,-7,1033,NE,4.02,0,0
228,2010,1,10,11,70,-15,-7,1033,NW,3.13,0,0
229,2010,1,10,12,75,-15,-7,1032,NW,6.26,0,0
230,2010,1,10,13,58,-14,-6,1031,NW,9.39,0,0
231,2010,1,10,14,70,-14,-6,1031,NW,12.52,0,0
232,2010,1,10,15,68,-13,-5,1030,NW,14.31,0,0
233,2010,1,10,16,71,-14,-5,1031,NW,16.1,0,0
234,2010,1,10,17,88,-14,-6,1031,NW,19.23,0,0
235,2010,1,10,18,84,-13,-7,1032,NW,23.25,0,0
236,2010,1,10,19,83,-15,-6,1032,NW,27.27,0,0
237,2010,1,10,20,66,-15,-6,1033,NW,30.4,0,0
238,2010,1,10,21,27,-15,-4,1034,NW,35.32,0,0
239,2010,1,10,22,24,-16,-4,1034,NW,44.26,0,0
240,2010,1,10,23,22,-17,-5,1035,NW,52.31,0,0
241,2010,1,11,0,23,-17,-6,1035,NW,60.36,0,0
242,2010,1,11,1,27,-17,-8,1035,cv,0.89,0,0
243,2010,1,11,2,23,-19,-11,1036,NW,4.02,0,0
244,2010,1,11,3,17,-20,-11,1036,NW,8.94,0,0
245,2010,1,11,4,17,-21,-11,1035,NE,4.02,0,0
246,2010,1,11,5,16,-22,-12,1035,NW,3.13,0,0
247,2010,1,11,6,16,-22,-12,1035,NE,4.92,0,0
248,2010,1,11,7,20,-22,-13,1036,NW,5.81,0,0
249,2010,1,11,8,20,-22,-9,1036,NW,13.86,0,0
250,2010,1,11,9,18,-22,-10,1036,NW,21.91,0,0
251,2010,1,11,10,25,-22,-9,1036,NW,29.06,0,0
252,2010,1,11,11,26,-21,-9,1036,NW,33.08,0,0
253,2010,1,11,12,27,-20,-6,1035,NW,42.02,0,0
254,2010,1,11,13,28,-19,-5,1034,NW,50.96,0,0
255,2010,1,11,14,15,-19,-5,1033,NW,59.01,0,0
256,2010,1,11,15,24,-20,-5,1033,NW,66.16,0,0
257,2010,1,11,16,13,-20,-5,1032,NW,71.97,0,0
258,2010,1,11,17,13,-20,-5,1033,NW,76.89,0,0
259,2010,1,11,18,13,-20,-7,1033,NW,81.81,0,0
260,2010,1,11,19,17,-22,-7,1033,NW,85.83,0,0
261,2010,1,11,20,20,-22,-8,1033,NW,89.85,0,0
262,2010,1,11,21,27,-23,-10,1033,NW,91.64,0,0
263,2010,1,11,22,20,-23,-13,1033,NW,93.43,0,0
264,2010,1,11,23,15,-22,-12,1032,cv,0.89,0,0
265,2010,1,12,0,21,-22,-15,1031,cv,1.78,0,0
266,2010,1,12,1,21,-22,-14,1031,NE,1.79,0,0
267,2010,1,12,2,37,-22,-14,1031,NW,0.89,0,0
268,2010,1,12,3,26,-24,-18,1030,NE,1.79,0,0
269,2010,1,12,4,15,-24,-13,1030,NE,3.58,0,0
270,2010,1,12,5,9,-25,-14,1030,NW,3.13,0,0
271,2010,1,12,6,11,-24,-14,1030,NW,7.15,0,0
272,2010,1,12,7,11,-25,-12,1030,NW,12.96,0,0
273,2010,1,12,8,16,-26,-14,1030,NW,16.98,0,0
274,2010,1,12,9,13,-25,-12,1031,NW,21,0,0
275,2010,1,12,10,15,-25,-11,1031,NW,26.81,0,0
276,2010,1,12,11,21,-24,-11,1030,NW,35.75,0,0
277,2010,1,12,12,24,-23,-11,1029,NW,47.82,0,0
278,2010,1,12,13,22,-22,-11,1029,NW,63.02,0,0
279,2010,1,12,14,22,-23,-11,1029,NW,75.98,0,0
280,2010,1,12,15,22,-22,-11,1029,NW,88.05,0,0
281,2010,1,12,16,19,-23,-11,1030,NW,101.01,0,0
282,2010,1,12,17,23,-24,-11,1030,NW,109.06,0,0
283,2010,1,12,18,25,-24,-11,1032,NW,118,0,0
284,2010,1,12,19,25,-23,-11,1032,NW,126.05,0,0
285,2010,1,12,20,31,-23,-12,1032,NW,134.1,0,0
286,2010,1,12,21,25,-24,-12,1033,NW,142.15,0,0
287,2010,1,12,22,22,-23,-12,1033,NW,150.2,0,0
288,2010,1,12,23,22,-23,-12,1034,NW,160.03,0,0
289,2010,1,13,0,15,-24,-12,1034,NW,169.86,0,0
290,2010,1,13,1,16,-24,-12,1033,NW,178.8,0,0
291,2010,1,13,2,11,-25,-12,1033,NW,189.98,0,0
292,2010,1,13,3,11,-24,-13,1033,NW,198.03,0,0
293,2010,1,13,4,12,-25,-12,1032,NW,205.18,0,0
294,2010,1,13,5,11,-25,-12,1033,NW,215.01,0,0
295,2010,1,13,6,12,-25,-12,1032,NW,226.19,0,0
296,2010,1,13,7,27,-25,-12,1032,NW,235.13,0,0
297,2010,1,13,8,28,-25,-12,1032,NW,243.18,0,0
298,2010,1,13,9,34,-23,-11,1033,NW,252.12,0,0
299,2010,1,13,10,33,-23,-10,1033,NW,257.93,0,0
300,2010,1,13,11,36,-22,-9,1033,NW,263.74,0,0
301,2010,1,13,12,26,-21,-8,1031,NW,270.89,0,0
302,2010,1,13,13,49,-21,-6,1030,NW,278.94,0,0
303,2010,1,13,14,52,-20,-5,1029,NW,286.99,0,0
304,2010,1,13,15,47,-22,-5,1028,NW,294.14,0,0
305,2010,1,13,16,47,-21,-5,1028,NW,299.06,0,0
306,2010,1,13,17,39,-19,-7,1028,SE,1.79,0,0
307,2010,1,13,18,59,-19,-8,1028,cv,0.45,0,0
308,2010,1,13,19,76,-20,-9,1028,cv,1.34,0,0
309,2010,1,13,20,96,-19,-10,1027,SE,1.79,0,0
310,2010,1,13,21,95,-19,-13,1027,cv,0.89,0,0
311,2010,1,13,22,68,-18,-12,1027,cv,1.78,0,0
312,2010,1,13,23,65,-18,-13,1027,NE,0.89,0,0
313,2010,1,14,0,75,-18,-14,1026,NE,1.78,0,0
314,2010,1,14,1,257,-20,-15,1025,NE,2.67,0,0
315,2010,1,14,2,174,-20,-15,1025,NW,0.89,0,0
316,2010,1,14,3,164,-20,-16,1025,NW,1.78,0,0
317,2010,1,14,4,161,-20,-16,1024,NW,3.57,0,0
318,2010,1,14,5,137,-21,-17,1024,NW,6.7,0,0
319,2010,1,14,6,92,-19,-14,1023,NW,10.72,0,0
320,2010,1,14,7,64,-21,-17,1023,NW,13.85,0,0
321,2010,1,14,8,87,-19,-15,1024,NW,15.64,0,0
322,2010,1,14,9,87,-19,-14,1024,NW,18.77,0,0
323,2010,1,14,10,84,-18,-10,1024,NW,22.79,0,0
324,2010,1,14,11,95,-17,-9,1023,NW,24.58,0,0
325,2010,1,14,12,79,-16,-6,1023,NW,26.37,0,0
326,2010,1,14,13,75,-17,-5,1022,NW,28.16,0,0
327,2010,1,14,14,79,-16,-5,1022,NW,29.95,0,0
328,2010,1,14,15,86,-15,-4,1022,NW,33.08,0,0
329,2010,1,14,16,72,-16,-4,1023,cv,0.89,0,0
330,2010,1,14,17,89,-15,-5,1025,SE,1.79,0,0
331,2010,1,14,18,94,-14,-3,1026,NW,5.81,0,0
332,2010,1,14,19,69,-16,-3,1027,NW,11.62,0,0
333,2010,1,14,20,49,-15,-4,1029,NW,20.56,0,0
334,2010,1,14,21,33,-16,-5,1031,NW,24.58,0,0
335,2010,1,14,22,27,-17,-6,1032,NE,3.13,0,0
336,2010,1,14,23,20,-18,-6,1033,NE,8.05,0,0
337,2010,1,15,0,36,-19,-7,1034,NE,13.86,0,0
338,2010,1,15,1,37,-17,-8,1035,NW,5.81,0,0
339,2010,1,15,2,30,-18,-10,1035,NW,11.62,0,0
340,2010,1,15,3,18,-19,-10,1036,NW,14.75,0,0
341,2010,1,15,4,21,-19,-9,1036,NW,19.67,0,0
342,2010,1,15,5,13,-19,-9,1036,NE,7.15,0,0
343,2010,1,15,6,23,-20,-9,1037,NE,12.96,0,0
344,2010,1,15,7,26,-19,-9,1037,NE,18.77,0,0
345,2010,1,15,8,27,-19,-8,1038,NE,22.79,0,0
346,2010,1,15,9,30,-19,-8,1039,NE,28.6,0,0
347,2010,1,15,10,28,-19,-7,1039,NE,35.75,0,0
348,2010,1,15,11,26,-18,-6,1039,NE,41.56,0,0
349,2010,1,15,12,26,-18,-5,1039,NE,45.58,0,0
350,2010,1,15,13,31,-17,-4,1038,NW,1.79,0,0
351,2010,1,15,14,35,-16,-3,1037,cv,0.89,0,0
352,2010,1,15,15,36,-17,-3,1037,cv,1.78,0,0
353,2010,1,15,16,37,-17,-2,1037,cv,2.23,0,0
354,2010,1,15,17,64,-15,-5,1036,SE,0.89,0,0
355,2010,1,15,18,83,-15,-6,1036,cv,0.89,0,0
356,2010,1,15,19,91,-15,-6,1037,cv,1.78,0,0
357,2010,1,15,20,90,-14,-6,1037,SE,1.79,0,0
358,2010,1,15,21,102,-14,-8,1036,SE,3.58,0,0
359,2010,1,15,22,94,-14,-10,1037,cv,0.89,0,0
360,2010,1,15,23,87,-15,-11,1036,cv,1.78,0,0
361,2010,1,16,0,141,-15,-11,1036,cv,2.67,0,0
362,2010,1,16,1,211,-16,-13,1036,NE,0.89,0,0
363,2010,1,16,2,242,-16,-12,1036,cv,0.89,0,0
364,2010,1,16,3,271,-16,-13,1035,NE,0.89,0,0
365,2010,1,16,4,249,-15,-12,1035,NE,1.78,0,0
366,2010,1,16,5,200,-14,-10,1034,NW,1.79,0,0
367,2010,1,16,6,147,-15,-10,1034,NW,2.68,0,0
368,2010,1,16,7,114,-15,-11,1034,NW,4.47,0,0
369,2010,1,16,8,102,-15,-11,1034,NW,6.26,0,0
370,2010,1,16,9,108,-14,-9,1034,NW,8.05,0,0
371,2010,1,16,10,135,-14,-9,1034,NW,9.84,0,0
372,2010,1,16,11,120,-13,-6,1034,cv,0.89,0,0
373,2010,1,16,12,148,-13,-5,1033,NW,1.79,0,0
374,2010,1,16,13,127,-12,-4,1031,cv,0.89,0,0
375,2010,1,16,14,128,-12,-3,1031,cv,1.78,0,0
376,2010,1,16,15,140,-12,-3,1030,cv,2.67,0,0
377,2010,1,16,16,148,-11,-3,1030,cv,3.56,0,0
378,2010,1,16,17,150,-11,-4,1031,NE,0.89,0,0
379,2010,1,16,18,154,-12,-7,1031,cv,0.89,0,0
380,2010,1,16,19,197,-12,-7,1032,cv,1.78,0,0
381,2010,1,16,20,235,-12,-8,1032,cv,2.23,0,0
382,2010,1,16,21,261,-12,-9,1032,cv,3.12,0,0
383,2010,1,16,22,269,-13,-11,1032,NW,0.89,0,0
384,2010,1,16,23,266,-14,-11,1032,NW,2.68,0,0
385,2010,1,17,0,263,-15,-12,1032,NW,5.81,0,0
386,2010,1,17,1,241,-14,-11,1032,cv,0.45,0,0
387,2010,1,17,2,205,-14,-11,1031,cv,1.34,0,0
388,2010,1,17,3,160,-14,-12,1031,NW,1.79,0,0
389,2010,1,17,4,150,-14,-12,1031,NW,3.58,0,0
390,2010,1,17,5,148,-14,-10,1030,NW,6.71,0,0
391,2010,1,17,6,208,-14,-11,1030,NW,9.84,0,0
392,2010,1,17,7,209,-15,-10,1030,NW,11.63,0,0
393,2010,1,17,8,183,-13,-10,1030,NW,14.76,0,0
394,2010,1,17,9,161,-13,-8,1030,NW,17.89,0,0
395,2010,1,17,10,182,-12,-6,1030,cv,0.45,0,0
396,2010,1,17,11,230,-11,-5,1030,cv,1.34,0,0
397,2010,1,17,12,170,-11,-4,1029,cv,2.23,0,0
